"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Bolsas\appBolsas.js", "JavaScript", 0, 0, 113, 3, 63, 179
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Bolsas\bolsas.html", "HTML", 41, 0, 0, 0, 10, 51
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Bolsas\estilosBolsas.css", "CSS", 0, 489, 0, 1, 78, 568
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Clientes\Estilosclientes.css", "CSS", 0, 354, 0, 0, 125, 479
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Clientes\appClientes.js", "JavaScript", 0, 0, 173, 50, 60, 283
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Clientes\clientes.html", "HTML", 37, 0, 0, 0, 6, 43
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Datos\Estilosdatos.css", "CSS", 0, 421, 0, 0, 71, 492
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Datos\appDatos.js", "JavaScript", 0, 0, 147, 6, 59, 212
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Datos\datos.html", "HTML", 78, 0, 0, 0, 24, 102
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Historial\Estiloshistorial.css", "CSS", 0, 261, 0, 4, 52, 317
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Historial\appHistorial.js", "JavaScript", 0, 0, 116, 4, 39, 159
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Historial\historial.html", "HTML", 40, 0, 0, 0, 8, 48
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Seguimiento\Estilosseguimiento.css", "CSS", 0, 187, 0, 0, 30, 217
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Seguimiento\appSeguimiento.js", "JavaScript", 0, 0, 325, 0, 75, 400
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Seguimiento\seguimiento.html", "HTML", 31, 0, 0, 0, 8, 39
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Venta\Estilosventa.css", "CSS", 0, 496, 0, 4, 130, 630
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Venta\appVenta.js", "JavaScript", 0, 0, 509, 16, 271, 796
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\Venta\venta.html", "HTML", 47, 0, 0, 0, 18, 65
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\agregarCliente\agregarCliente.css", "CSS", 0, 214, 0, 0, 32, 246
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\agregarCliente\agregarCliente.html", "HTML", 43, 0, 0, 0, 13, 56
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\agregarCliente\agregarCliente.js", "JavaScript", 0, 0, 393, 7, 121, 521
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarBolsa\editarBolsa.css", "CSS", 0, 164, 0, 0, 33, 197
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarBolsa\editarBolsa.html", "HTML", 47, 0, 0, 0, 18, 65
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarBolsa\editarBolsa.js", "JavaScript", 0, 0, 230, 3, 116, 349
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarCliente\editarCliente.css", "CSS", 0, 187, 0, 0, 29, 216
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarCliente\editarCliente.html", "HTML", 68, 0, 0, 0, 4, 72
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\editarCliente\editarCliente.js", "JavaScript", 0, 0, 252, 4, 83, 339
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\historialPersona\EstiloshistorialPersona.css", "CSS", 0, 341, 0, 0, 64, 405
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\historialPersona\appHistorialPersona.js", "JavaScript", 0, 0, 297, 181, 144, 622
"c:\Users\Felipe\Desktop\PROGRAMA FER\Aplicacion\src\ui\historialPersona\historialPersona.html", "HTML", 44, 0, 0, 0, 18, 62
"Total", "-", 476, 3114, 2555, 283, 1802, 8230
